t,chi0,chi1,chi2,w0_chi0,w1_chi1,w2_chi2,total_feedback
171.499999999989,-9.48879367206403,5.6850841427497665,60.234459498459096,-4.744396836032015,1.1370168285499533,6.02344594984591,2.416065942363848
171.5999999999889,-10.092239608406782,4.860463738894154,59.37672434113944,-5.046119804203391,0.9720927477788308,5.937672434113945,1.8636453776893847
171.69999999998882,-11.226623497040332,3.4933712199914013,57.97227242627665,-5.613311748520166,0.6986742439982803,5.797227242627666,0.8825897381057799
171.79999999998873,-12.31858747119796,2.151792771463301,56.58758471785016,-6.15929373559898,0.43035855429266023,5.658758471785017,-0.07017670952130262
171.89999999998864,-12.557321204865657,1.6538883883856108,56.042707901496144,-6.278660602432828,0.3307776776771222,5.604270790149615,-0.3436121346060915
171.99999999998855,-12.262008805153721,1.6920008120074623,56.033039742535415,-6.131004402576861,0.3384001624014925,5.603303974253542,-0.18930026592182592
172.09999999998846,-11.77023837065085,1.9337723672648215,56.22764283868607,-5.885119185325425,0.3867544734529643,5.622764283868608,0.12439957199614737
172.19999999998836,-11.091010010374369,2.3727501447248147,56.62078723556949,-5.545505005187184,0.47455002894496295,5.662078723556949,0.5911237473147273
172.29999999998827,-10.058082211170797,3.178906827596285,57.38349872288573,-5.0290411055853985,0.635781365519257,5.738349872288573,1.3450901322224318
172.39999999998818,-8.54563270220899,4.484504405796184,58.649839746930816,-4.272816351104495,0.8969008811592367,5.864983974693082,2.4890685047478236
172.4999999999881,-7.127124870267642,5.720460673833558,59.852011753370626,-3.563562435133821,1.1440921347667117,5.985201175337063,3.5657308749699537
172.599999999988,-6.508020399768419,6.173906819489216,60.275282767561606,-3.2540101998842097,1.2347813638978433,6.027528276756161,4.008299440769795
172.6999999999879,-6.3849141279517,6.137512264726238,60.20951941452101,-3.19245706397585,1.2275024529452478,6.020951941452101,4.0559973304215
172.79999999998782,-6.445712226079024,5.91844176226971,59.96059072790035,-3.222856113039512,1.183688352453942,5.996059072790036,3.956891312204466
172.89999999998773,-6.6728195803238615,5.531922704421931,59.543094179063914,-3.3364097901619307,1.1063845408843862,5.954309417906392,3.724284168628847
172.99999999998764,-7.224361565569731,4.81646219468942,58.794627176847314,-3.6121807827848653,0.963292438937884,5.879462717684731,3.23057437383775
173.09999999998755,-8.325247088405307,3.5406882951487173,57.48205906834766,-4.162623544202654,0.7081376590297435,5.748205906834766,2.293720021661856
173.19999999998745,-9.607227572471478,2.065766580882845,55.964593895800775,-4.803613786235739,0.41315331617656903,5.596459389580078,1.2059989195209078
